IncidentID,IncidentDate,ReportDate,Location,Department,IncidentType,Designator,Severity,Status,ReportedBy,AssignedTo,Witnesses,PoliceNotified,PoliceReportNumber,PropertyDamage,EstimatedCost,InjuryOccurred,VideoEvidence,FollowUpRequired,ResolutionNotes,Narrative
INC-010012,2024-10-17 16:14,2024-10-18 19:14,Retail Store,IT,POLICY_VIOLATION,POLICY,Low,Open,Employee_3442,Security_18,2,True,,True,0,False,True,False,,Employee found smoking in prohibited area near building entrance. Written warning issued.
INC-010013,2025-07-22 16:14,2025-07-23 03:14,Laboratory,IT,VANDALISM,VANDALISM,Low,Closed,Employee_7745,Pending,1,True,,True,100,False,True,False,,Windows broken in office B-12. Glass shattered across floor. Repair crew dispatched.
INC-010014,2025-09-08 16:14,2025-09-09 09:14,Conference Room,Facilities,POLICY_VIOLATION,POLICY,Medium,Closed,Employee_1452,Pending,1,False,,False,0,False,False,False,Investigation complete,Employee accessing social media on company network during work hours. Policy reminder sent.
INC-010015,2024-11-04 16:14,2024-11-05 04:14,Conference Room,Manufacturing,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Closed,Employee_6143,Pending,4,False,,False,0,False,False,True,,Suspicious vehicle circling parking lot 73 times. License plate recorded.
INC-010016,2025-05-20 16:14,2025-05-21 05:14,Laboratory,Legal,SAFETY_HAZARD,SAFETY,Critical,Closed,Employee_8618,Pending,5,True,,True,500,False,True,True,Investigation complete,Malfunctioning elevator trapped 4 people for 5 minutes. Fire department responded.
INC-010017,2025-03-15 16:14,2025-03-17 08:14,Server Room,Operations,VANDALISM,VANDALISM,Medium,Resolved,Employee_7547,Security_8,5,True,PR-907451,True,100,False,True,False,,Property damage to break room. Tables and chairs overturned and damaged.
INC-010018,2025-03-01 16:14,2025-03-03 07:14,Cafeteria,Facilities,VANDALISM,VANDALISM,Medium,Resolved,Employee_3607,Pending,2,True,PR-390782,False,500,False,False,True,Investigation complete,Windows broken in office 205. Glass shattered across floor. Repair crew dispatched.
INC-010019,2025-07-27 16:14,2025-07-29 13:14,Lobby,HR,VANDALISM,VANDALISM,Medium,Resolved,Employee_6421,Pending,3,True,,False,0,False,True,False,,Elevator buttons smashed in building North Wing. Repair estimated at $500.
INC-010020,2025-02-07 16:14,2025-02-07 17:14,Laboratory,Marketing,CYBER_SECURITY,CYBER,Critical,Under Investigation,Employee_8657,Security_5,3,True,,False,0,False,False,True,,Employee fell for phishing scam and provided credentials. Password reset forced.
INC-010021,2025-09-02 16:14,2025-09-03 22:14,Main Office,Facilities,UNAUTHORIZED_ACCESS,ACCESS,Medium,Closed,Employee_4673,Security_3,0,True,,True,100,False,True,False,Investigation complete,Employee used badge to access unauthorized floor 3. Supervisor notified.
INC-010022,2025-08-16 16:14,2025-08-17 02:14,Break Room,HR,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Closed,Employee_7149,Security_13,0,True,,False,5000,False,True,True,,"Suspicious package left unattended in hallway floor 3. Bomb squad called, package cleared."
INC-010023,2025-02-05 16:14,2025-02-05 22:14,Laboratory,Marketing,UNAUTHORIZED_ACCESS,ACCESS,High,Under Investigation,Employee_8135,Pending,4,False,,False,0,False,True,True,,Door to restricted area B-12 found propped open. Area secured by security team.
INC-010024,2025-04-15 16:14,2025-04-16 08:14,Conference Room,Sales,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Open,Employee_9464,Security_7,1,False,,True,1000,False,False,True,,"Person attempting to peer into windows on ground floor. Security approached, individual left."
INC-010025,2025-03-10 16:14,2025-03-12 15:14,Retail Store,Marketing,VANDALISM,VANDALISM,Medium,Resolved,Employee_5438,Pending,1,True,PR-430876,True,100,False,True,True,Investigation complete,Property damage to break room. Tables and chairs overturned and damaged.
INC-010026,2024-10-16 16:14,2024-10-18 02:14,Parking Lot,Sales,UNAUTHORIZED_ACCESS,ACCESS,Medium,Open,Employee_5786,Pending,0,True,,False,0,False,False,True,Investigation complete,Individual without badge found wandering in building B. Identified as lost visitor.
INC-010027,2025-09-16 16:14,2025-09-17 01:14,Parking Lot,Legal,UNAUTHORIZED_ACCESS,ACCESS,High,Open,Employee_5066,Pending,4,True,PR-498855,False,500,False,False,False,Investigation complete,Former employee attempted building access. Badge already deactivated. Entry denied.
INC-010028,2025-01-04 16:14,2025-01-04 20:14,Parking Lot,IT,THEFT,THEFT,High,Resolved,Employee_8699,Security_10,1,False,PR-837135,False,0,False,True,False,Investigation complete,Theft of phone from storage room A-105. Item valued at $1000. Police report filed.
INC-010029,2025-08-02 16:14,2025-08-02 20:14,Main Office,Finance,WORKPLACE_VIOLENCE,VIOLENCE,Critical,Closed,Employee_8195,Pending,5,False,,False,1000,False,True,True,Investigation complete,Fight broke out in parking lot between employees. Both individuals suspended pending investigation.
INC-010030,2025-07-16 16:14,2025-07-17 22:14,Retail Store,Security,SAFETY_HAZARD,SAFETY,High,Under Investigation,Employee_8141,Security_16,3,False,,False,100,False,False,False,,"Gas leak detected near building A. Area cordoned off, gas company called."
INC-010031,2025-01-23 16:14,2025-01-23 16:14,Executive Suite,Facilities,CYBER_SECURITY,CYBER,Critical,Resolved,Employee_1888,Pending,4,False,,True,0,False,True,False,,Phishing email reported by employee. IT security team investigating sender.
INC-010032,2025-01-04 16:14,2025-01-05 18:14,Warehouse,Operations,SAFETY_HAZARD,SAFETY,Medium,Resolved,Employee_2924,Pending,5,False,,False,0,False,False,True,,"Electrical hazard discovered in building A. Power shut off, electrician notified."
INC-010033,2025-10-12 16:14,2025-10-13 10:14,Cafeteria,Sales,THEFT,THEFT,High,Under Investigation,Employee_8316,Pending,2,False,,False,0,False,False,True,Investigation complete,Break-in at warehouse C. Multiple tools stolen. Total loss approximately $2000.
INC-010034,2024-11-08 16:14,2024-11-10 09:14,Parking Lot,Security,VANDALISM,VANDALISM,Low,Under Investigation,Employee_9229,Pending,0,False,,False,0,False,True,False,Investigation complete,Fire extinguisher discharged in hallway on floor 1. Area covered in powder. Cleanup required.
INC-010035,2024-11-02 16:14,2024-11-04 02:14,Laboratory,Marketing,MEDICAL_EMERGENCY,MEDICAL,Critical,Open,Employee_2121,Pending,1,True,,True,0,False,True,False,Investigation complete,Slip and fall in cafeteria. Employee injured ankle. First aid administered.
INC-010036,2024-12-28 16:14,2024-12-30 11:14,Loading Dock,Finance,THEFT,THEFT,Medium,Under Investigation,Employee_2293,Pending,4,True,,True,0,False,False,False,,Employee reported laptop stolen from desk in building E. Value approximately $2000. Security cameras reviewed.
INC-010037,2025-05-13 16:14,2025-05-15 08:14,Laboratory,Sales,THEFT,THEFT,High,Closed,Employee_4263,Pending,0,True,,False,500,False,True,False,,Office equipment missing from conference room. phone valued at $500. Investigation ongoing.
INC-010038,2024-11-22 16:14,2024-11-23 04:14,Server Room,Sales,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Open,Employee_1645,Pending,0,False,PR-194511,False,0,False,False,True,,Suspicious individual loitering near loading dock for 50 minutes. Security monitored.
INC-010039,2025-08-16 16:14,2025-08-17 21:14,Warehouse,Finance,POLICY_VIOLATION,POLICY,Low,Resolved,Employee_6992,Pending,0,False,,False,0,False,False,False,Investigation complete,Company vehicle used for unauthorized personal use. Fleet policy violation logged.
INC-010040,2024-11-22 16:14,2024-11-23 21:14,Cafeteria,Sales,CYBER_SECURITY,CYBER,Critical,Open,Employee_3290,Security_2,2,False,,True,100,False,False,False,,Malware detected on workstation in department D. Computer quarantined.
INC-010041,2025-09-27 16:14,2025-09-29 12:14,Conference Room,Operations,CYBER_SECURITY,CYBER,Critical,Resolved,Employee_4868,Security_12,5,False,,False,0,False,False,True,Investigation complete,Unauthorized USB drive found plugged into secure terminal. Device confiscated.
INC-010042,2025-08-10 16:14,2025-08-12 04:14,Lobby,HR,CYBER_SECURITY,CYBER,High,Under Investigation,Employee_4817,Security_11,4,True,,True,5000,False,False,True,,Social engineering attempt via phone call. Employee reported suspicious request for passwords.
INC-010043,2025-05-31 16:14,2025-05-31 19:14,Parking Lot,Manufacturing,CYBER_SECURITY,CYBER,High,Open,Employee_8802,Pending,4,True,,True,0,False,False,False,Investigation complete,Suspicious login attempts from foreign IP address. Account locked for security.
INC-010044,2025-09-02 16:14,2025-09-03 12:14,Server Room,Finance,THEFT,THEFT,Medium,Under Investigation,Employee_5505,Pending,3,False,,False,0,False,True,True,,Office equipment missing from conference room. package valued at $250. Investigation ongoing.
INC-010045,2024-11-07 16:14,2024-11-08 08:14,Conference Room,Finance,CYBER_SECURITY,CYBER,Critical,Open,Employee_2494,Security_3,3,True,PR-490748,True,5000,False,False,True,,Unauthorized USB drive found plugged into secure terminal. Device confiscated.
INC-010046,2025-06-27 16:14,2025-06-28 01:14,Executive Suite,Security,CYBER_SECURITY,CYBER,High,Open,Employee_6736,Pending,0,False,,False,5000,False,True,False,,Unauthorized USB drive found plugged into secure terminal. Device confiscated.
INC-010047,2025-09-08 16:14,2025-09-09 01:14,Cafeteria,IT,UNAUTHORIZED_ACCESS,ACCESS,Medium,Under Investigation,Employee_7163,Pending,2,True,,False,5000,False,True,True,,Individual without badge found wandering in building North Wing. Identified as lost visitor.
INC-010048,2025-05-27 16:14,2025-05-28 05:14,Loading Dock,Facilities,SAFETY_HAZARD,SAFETY,Medium,Closed,Employee_8043,Pending,5,False,,False,0,False,True,True,,Chemical spill in laboratory 312. Area evacuated and hazmat team called.
INC-010049,2025-08-08 16:14,2025-08-09 16:14,Retail Store,Operations,CYBER_SECURITY,CYBER,Critical,Open,Employee_7505,Pending,0,False,PR-428267,False,1000,False,False,True,,Suspicious login attempts from foreign IP address. Account locked for security.
INC-010050,2025-03-04 16:14,2025-03-06 05:14,Laboratory,Facilities,MEDICAL_EMERGENCY,MEDICAL,High,Resolved,Employee_6083,Security_11,2,True,,True,100,False,False,True,,"Medical emergency - employee having allergic reaction. EpiPen administered, 911 called."
INC-010051,2025-02-18 16:14,2025-02-20 16:14,Server Room,Legal,THEFT,THEFT,High,Closed,Employee_6179,Pending,0,False,,False,5000,False,True,False,Investigation complete,Break-in at warehouse C. Multiple tablets stolen. Total loss approximately $250.
INC-010052,2024-12-13 16:14,2024-12-15 00:14,Laboratory,Security,UNAUTHORIZED_ACCESS,ACCESS,Medium,Resolved,Employee_4084,Pending,4,True,PR-572407,True,500,False,True,True,,Former employee attempted building access. Badge already deactivated. Entry denied.
INC-010053,2024-12-11 16:14,2024-12-11 19:14,Loading Dock,Marketing,SAFETY_HAZARD,SAFETY,Medium,Closed,Employee_2548,Pending,2,False,PR-788457,True,0,True,False,False,Investigation complete,"Water leak from ceiling creating electrical hazard. Power shut off, repairs underway."
INC-010054,2025-04-28 16:14,2025-04-29 00:14,Executive Suite,Facilities,SAFETY_HAZARD,SAFETY,Medium,Resolved,Employee_9331,Security_12,2,False,,True,0,False,True,True,Investigation complete,Malfunctioning elevator trapped 7 people for 53 minutes. Fire department responded.
INC-010055,2024-12-12 16:14,2024-12-13 16:14,Parking Lot,Finance,VANDALISM,VANDALISM,Low,Under Investigation,Employee_8170,Pending,2,True,PR-740255,False,1000,False,True,True,,Bathroom vandalized on floor 7. Multiple fixtures damaged. Cleanup and repairs needed.
INC-010056,2025-04-01 16:14,2025-04-03 00:14,Retail Store,Manufacturing,POLICY_VIOLATION,POLICY,Low,Under Investigation,Employee_3267,Security_9,5,False,PR-681478,True,5000,False,True,False,,Photography in restricted manufacturing area. Company policy prohibits cameras.
INC-010057,2025-03-15 16:14,2025-03-15 19:14,Laboratory,Facilities,VANDALISM,VANDALISM,Medium,Under Investigation,Employee_7326,Pending,1,True,,True,500,False,True,True,,Security camera lens spray-painted in sector C. Camera non-functional.
INC-010058,2025-06-04 16:14,2025-06-05 05:14,Parking Lot,Facilities,CYBER_SECURITY,CYBER,Critical,Open,Employee_5720,Pending,0,True,,False,0,False,False,True,Investigation complete,Social engineering attempt via phone call. Employee reported suspicious request for passwords.
INC-010059,2024-11-07 16:14,2024-11-09 10:14,Warehouse,Facilities,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Open,Employee_9618,Security_18,3,False,,False,500,False,True,False,Investigation complete,Concerning behavior observed in lobby. Person asking detailed questions about security systems.
INC-010060,2024-10-28 16:14,2024-10-29 21:14,Cafeteria,Security,UNAUTHORIZED_ACCESS,ACCESS,Medium,Under Investigation,Employee_2033,Security_15,2,True,,True,500,False,False,False,Investigation complete,Tailgating incident at main entrance. Visitor followed employee without badging in.
INC-010061,2024-11-12 16:14,2024-11-13 13:14,Break Room,HR,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Resolved,Employee_7553,Pending,2,True,,False,0,False,False,True,Investigation complete,Individual observed following employees to parking lot. Police notified.
INC-010062,2025-02-27 16:14,2025-03-01 06:14,Cafeteria,Manufacturing,THEFT,THEFT,Medium,Resolved,Employee_6759,Security_15,5,False,,False,0,False,True,True,Investigation complete,Missing tool discovered during inventory check. Last seen 22 days ago. Estimated value $250.
INC-010063,2024-11-17 16:14,2024-11-18 15:14,Conference Room,Manufacturing,UNAUTHORIZED_ACCESS,ACCESS,Medium,Under Investigation,Employee_8371,Pending,3,True,,False,0,False,False,True,Investigation complete,Attempted access to server room without proper credentials. Access denied and logged.
INC-010064,2025-02-27 16:14,2025-02-28 05:14,Server Room,Sales,THEFT,THEFT,High,Under Investigation,Employee_3009,Security_5,3,True,PR-566732,True,500,False,False,True,Investigation complete,Missing keyboard discovered during inventory check. Last seen 25 days ago. Estimated value $250.
INC-010065,2025-07-03 16:14,2025-07-04 00:14,Lobby,Security,UNAUTHORIZED_ACCESS,ACCESS,Medium,Closed,Employee_7044,Security_15,4,True,,False,1000,False,False,False,Investigation complete,Individual without badge found wandering in building C. Identified as lost visitor.
INC-010066,2024-12-17 16:14,2024-12-18 03:14,Loading Dock,Finance,THEFT,THEFT,High,Open,Employee_3034,Security_17,2,True,,True,0,False,False,True,,Shoplifting incident at retail location. Suspect took tablet valued at $1500. Suspect apprehended.
INC-010067,2024-12-20 16:14,2024-12-21 01:14,Parking Lot,Legal,WORKPLACE_VIOLENCE,VIOLENCE,Critical,Open,Employee_1464,Security_3,5,False,,False,0,False,False,False,,Employee made threatening statements toward supervisor. HR and security notified.
INC-010068,2025-02-18 16:14,2025-02-19 05:14,Conference Room,Legal,POLICY_VIOLATION,POLICY,Low,Closed,Employee_6231,Pending,1,False,,True,0,False,False,True,,Employee badge sharing detected by access control system. Both parties written up.
INC-010069,2025-04-29 16:14,2025-05-01 04:14,Cafeteria,Marketing,VANDALISM,VANDALISM,Low,Under Investigation,Employee_9163,Pending,3,False,,True,5000,False,False,True,,Windows broken in office 312. Glass shattered across floor. Repair crew dispatched.
INC-010070,2025-08-19 16:14,2025-08-20 19:14,Parking Lot,Sales,UNAUTHORIZED_ACCESS,ACCESS,High,Resolved,Employee_6995,Pending,0,True,,False,0,False,False,False,Investigation complete,Unauthorized person found in restricted area E. Individual escorted out by security.
INC-010071,2025-08-01 16:14,2025-08-02 04:14,Server Room,Facilities,WORKPLACE_VIOLENCE,VIOLENCE,Critical,Open,Employee_1742,Security_2,5,False,PR-644559,False,0,True,False,False,,Verbal threat made by employee during meeting. Threatening individual escorted off premises.
INC-010072,2025-10-05 16:14,2025-10-06 15:14,Conference Room,HR,FRAUD,FRAUD,Critical,Closed,Employee_1436,Pending,2,True,PR-711868,False,0,False,False,True,Investigation complete,Vendor invoice fraud suspected. Inflated charges of $5000 under investigation.
INC-010073,2025-07-01 16:14,2025-07-02 18:14,Retail Store,Legal,VANDALISM,VANDALISM,Medium,Open,Employee_3262,Security_17,4,False,PR-601608,False,0,False,True,False,Investigation complete,Windows broken in office 101. Glass shattered across floor. Repair crew dispatched.
INC-010074,2025-06-20 16:14,2025-06-21 11:14,Loading Dock,Sales,UNAUTHORIZED_ACCESS,ACCESS,Medium,Resolved,Employee_6194,Pending,4,False,,False,1000,False,False,True,,Door to restricted area B-12 found propped open. Area secured by security team.
INC-010075,2025-01-11 16:14,2025-01-12 09:14,Retail Store,Sales,UNAUTHORIZED_ACCESS,ACCESS,Medium,Open,Employee_4920,Security_8,5,True,,True,0,False,False,False,,Tailgating incident at main entrance. Visitor followed employee without badging in.
INC-010076,2025-05-19 16:14,2025-05-20 12:14,Break Room,IT,POLICY_VIOLATION,POLICY,Low,Under Investigation,Employee_9767,Security_2,3,True,PR-138105,False,100,False,False,True,,Employee found smoking in prohibited area near building entrance. Written warning issued.
INC-010077,2025-05-27 16:14,2025-05-28 04:14,Loading Dock,HR,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Medium,Under Investigation,Employee_8518,Security_9,0,False,PR-695361,True,0,False,False,False,Investigation complete,Unusual activity reported in parking lot late at night. Individual taking photos of building.
INC-010078,2025-06-15 16:14,2025-06-16 20:14,Loading Dock,Sales,THEFT,THEFT,High,Closed,Employee_1187,Pending,5,True,,True,0,False,True,False,Investigation complete,Theft of monitor from storage room 205. Item valued at $1500. Police report filed.
INC-010079,2025-02-11 16:14,2025-02-12 01:14,Manufacturing Floor,Legal,CYBER_SECURITY,CYBER,Critical,Resolved,Employee_9998,Security_16,1,True,,False,0,False,True,True,Investigation complete,Employee fell for phishing scam and provided credentials. Password reset forced.
INC-010080,2024-12-19 16:14,2024-12-20 23:14,Warehouse,Facilities,CYBER_SECURITY,CYBER,Critical,Open,Employee_8429,Pending,3,True,,False,1000,False,False,True,Investigation complete,Data breach suspected - unusual file access patterns detected. Investigation ongoing.
INC-010081,2025-09-27 16:14,2025-09-28 10:14,Laboratory,Finance,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Resolved,Employee_7135,Pending,3,False,,True,500,False,True,True,Investigation complete,Suspicious individual loitering near loading dock for 13 minutes. Security monitored.
INC-010082,2025-01-14 16:14,2025-01-15 16:14,Lobby,Operations,UNAUTHORIZED_ACCESS,ACCESS,High,Closed,Employee_3541,Security_9,5,True,,False,0,False,True,True,,Attempted access to server room without proper credentials. Access denied and logged.
INC-010083,2025-06-24 16:14,2025-06-26 16:14,Loading Dock,IT,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Closed,Employee_4836,Pending,4,False,,True,5000,False,True,False,,"Person attempting to peer into windows on ground floor. Security approached, individual left."
INC-010084,2025-01-18 16:14,2025-01-19 12:14,Cafeteria,Manufacturing,THEFT,THEFT,High,Under Investigation,Employee_5913,Security_13,4,False,,True,0,False,True,False,Investigation complete,Missing tool discovered during inventory check. Last seen 21 days ago. Estimated value $100.
INC-010085,2025-02-25 16:14,2025-02-26 15:14,Warehouse,Facilities,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Open,Employee_5398,Security_13,0,True,PR-716126,True,0,False,False,False,Investigation complete,Suspicious vehicle circling parking lot 87 times. License plate recorded.
INC-010086,2025-07-01 16:14,2025-07-02 17:14,Lobby,Facilities,THEFT,THEFT,High,Closed,Employee_7236,Pending,2,False,,False,0,False,False,False,Investigation complete,Break-in at warehouse B. Multiple monitors stolen. Total loss approximately $5000.
INC-010087,2024-12-18 16:14,2024-12-20 05:14,Cafeteria,Manufacturing,UNAUTHORIZED_ACCESS,ACCESS,High,Under Investigation,Employee_4214,Security_11,3,True,,False,0,False,False,False,,Unauthorized vehicle in executive parking area. Vehicle towed by security.
INC-010088,2025-09-13 16:14,2025-09-15 01:14,Main Office,HR,SAFETY_HAZARD,SAFETY,Critical,Open,Employee_1104,Security_14,5,True,,True,0,False,False,True,Investigation complete,Broken stairway railing on floor 6 poses fall risk. Maintenance repairing immediately.
INC-010089,2025-05-26 16:14,2025-05-28 02:14,Break Room,IT,SAFETY_HAZARD,SAFETY,Critical,Resolved,Employee_3937,Security_4,4,True,,False,500,False,True,False,Investigation complete,"Water leak from ceiling creating electrical hazard. Power shut off, repairs underway."
INC-010090,2025-04-03 16:14,2025-04-05 03:14,Manufacturing Floor,IT,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Under Investigation,Employee_2354,Pending,5,False,,True,0,False,True,True,Investigation complete,"Suspicious package left unattended in hallway floor 6. Bomb squad called, package cleared."
INC-010091,2025-07-14 16:14,2025-07-15 12:14,Main Office,Operations,SAFETY_HAZARD,SAFETY,Critical,Under Investigation,Employee_7525,Pending,1,True,,False,5000,False,False,True,Investigation complete,"Water leak from ceiling creating electrical hazard. Power shut off, repairs underway."
INC-010092,2024-12-08 16:14,2024-12-10 07:14,Server Room,Manufacturing,SAFETY_HAZARD,SAFETY,High,Open,Employee_5478,Pending,1,False,,False,0,False,True,False,Investigation complete,"Electrical hazard discovered in building North Wing. Power shut off, electrician notified."
INC-010093,2025-08-28 16:14,2025-08-28 16:14,Break Room,Security,SAFETY_HAZARD,SAFETY,High,Closed,Employee_2674,Security_5,1,False,,False,0,True,False,True,Investigation complete,"Electrical hazard discovered in building E. Power shut off, electrician notified."
INC-010094,2024-12-25 16:14,2024-12-27 01:14,Parking Lot,Manufacturing,POLICY_VIOLATION,POLICY,Low,Under Investigation,Employee_5405,Pending,3,True,,False,0,False,False,False,Investigation complete,Employee badge sharing detected by access control system. Both parties written up.
INC-010095,2025-10-10 16:14,2025-10-11 17:14,Conference Room,Legal,UNAUTHORIZED_ACCESS,ACCESS,High,Closed,Employee_8212,Pending,5,True,,True,0,False,True,False,Investigation complete,Employee used badge to access unauthorized floor 5. Supervisor notified.
INC-010096,2025-07-03 16:14,2025-07-05 05:14,Retail Store,Finance,UNAUTHORIZED_ACCESS,ACCESS,Medium,Resolved,Employee_4434,Pending,5,True,PR-934306,False,100,False,False,True,,Former employee attempted building access. Badge already deactivated. Entry denied.
INC-010097,2024-10-24 16:14,2024-10-25 18:14,Retail Store,IT,VANDALISM,VANDALISM,Medium,Open,Employee_2791,Pending,1,True,,False,500,False,False,True,,Fire extinguisher discharged in hallway on floor 4. Area covered in powder. Cleanup required.
INC-010098,2025-04-20 16:14,2025-04-20 17:14,Manufacturing Floor,HR,UNAUTHORIZED_ACCESS,ACCESS,High,Resolved,Employee_2406,Security_4,2,False,,True,500,False,False,True,,Employee used badge to access unauthorized floor 4. Supervisor notified.
INC-010099,2025-08-19 16:14,2025-08-21 11:14,Loading Dock,Finance,SAFETY_HAZARD,SAFETY,Critical,Under Investigation,Employee_9454,Security_6,2,False,PR-343118,False,100,False,False,True,Investigation complete,Broken stairway railing on floor 1 poses fall risk. Maintenance repairing immediately.
INC-010100,2025-08-22 16:14,2025-08-24 02:14,Parking Lot,Marketing,CYBER_SECURITY,CYBER,Critical,Under Investigation,Employee_8496,Pending,5,False,,False,5000,False,False,True,,Social engineering attempt via phone call. Employee reported suspicious request for passwords.
INC-010101,2025-05-10 16:14,2025-05-10 23:14,Parking Lot,Marketing,POLICY_VIOLATION,POLICY,Low,Resolved,Employee_7852,Security_20,4,False,,False,100,False,True,False,,Confidential documents left unattended on desk overnight. Security policy violation reported.
INC-010102,2025-01-28 16:14,2025-01-30 09:14,Manufacturing Floor,Manufacturing,VANDALISM,VANDALISM,Medium,Resolved,Employee_8272,Security_16,0,True,PR-331241,False,0,False,True,False,,Security camera lens spray-painted in sector A. Camera non-functional.
INC-010103,2025-09-22 16:14,2025-09-24 16:14,Cafeteria,Security,SUSPICIOUS_ACTIVITY,SUSPICIOUS,Low,Resolved,Employee_2677,Pending,0,False,,True,0,False,True,True,,"Person attempting to peer into windows on ground floor. Security approached, individual left."
INC-010104,2025-09-13 16:14,2025-09-15 04:14,Conference Room,Facilities,SAFETY_HAZARD,SAFETY,High,Under Investigation,Employee_6302,Pending,4,False,PR-639403,True,0,False,True,False,Investigation complete,Broken stairway railing on floor 5 poses fall risk. Maintenance repairing immediately.
INC-010105,2025-08-02 16:14,2025-08-04 04:14,Executive Suite,Sales,THEFT,THEFT,High,Resolved,Employee_8405,Security_3,3,False,,False,0,False,False,False,Investigation complete,Missing monitor discovered during inventory check. Last seen 25 days ago. Estimated value $1500.
INC-010106,2025-06-24 16:14,2025-06-25 19:14,Lobby,Security,CYBER_SECURITY,CYBER,Critical,Closed,Employee_5646,Security_11,4,False,PR-815707,True,0,False,False,True,,Malware detected on workstation in department Main Campus. Computer quarantined.
INC-010107,2025-07-24 16:14,2025-07-25 09:14,Warehouse,Marketing,CYBER_SECURITY,CYBER,Critical,Open,Employee_7092,Security_6,3,False,PR-891918,True,0,False,True,True,,Social engineering attempt via phone call. Employee reported suspicious request for passwords.
